Sample_No,Project,Rep,Cover_Treatment,Fumigation_Treatment,Depth_cm,Top_Depth_cm,Bottom_Depth_cm,Full_name,Bulk_N_Pct,Bulk_15N_Atom_Pct,Bulk_C_Pct,Bulk_d13C,lPOM_N_Pct,lPOM_15N_Atom_Pct,lPOM_C_Pct,lPOM_d13C,CHOM_N_Pct,CHOM_15N_Atom_Pct,CHOM_C_Pct,CHOM_d13C,MAOM_N_Pct,MAOM_15N_Atom_Pct,MAOM_C_Pct,MAOM_d13C,Bulk_Density_g_cm3,Proportion_lPOM_Mass,Proportion_CHOM_Mass,Proportion_MAOM_Mass
1,Bluestem,1,B,F,0-2,0,2,1.Bluestem R1 B F 0-2 (NA),0.33,0.3689,5.64,-18.15,1.38,0.3687,30.13,-22.34,0.23,0.3693,3.7,-18.68,0.31,0.3687,3.81,-16.11,1.17,6.37254902,5.734369219,86.3854976
2,Bluestem,2,B,F,0-2,0,2,2.Bluestem R2 B F 0-2 (NA),0.3,0.3691,5.14,-17.02,1.29,0.3679,27.6,-19.31,0.12,0.3691,1.97,-19.62,0.23,0.369,2.78,-16.38,1.17,6.866258912,6.038412092,87.26479411
3,Bluestem,3,B,F,0-2,0,2,3.Bluestem R3 B F 0-2 (NA),0.32,0.3688,5.41,-16.52,1.32,0.3686,29.02,-20.53,0.22,0.369,3.73,-18.21,0.26,0.3691,3.23,-15.75,1.17,5.381373165,4.251857877,86.51606463
4,Bluestem,4,B,F,0-2,0,2,4.Bluestem R4 B F 0-2 (NA),0.35,0.3686,5.88,-18.19,1.55,0.3684,28.76,-21.27,0.21,0.3658,3.92,-22.17,0.28,0.3685,3.35,-16.39,1.17,8.337629112,4.773087424,84.57910915
5,Bluestem,1,B,F,2-5,2,5,5.Bluestem R1 B F 2-5 (NA),0.28,0.369,4.43,-16.03,1.2,0.3695,27.54,-20.32,0.15,0.3699,2.64,-18.63,0.21,0.3692,2.62,-15.82,0.78,2.944935267,5.556481636,87.79240985
6,Bluestem,2,B,F,2-5,2,5,6.Bluestem R2 B F 2-5 (NA),0.27,0.3692,4.03,-15.29,1.18,0.3694,26.33,-19.79,0.12,0.3698,1.86,-17.98,0.24,0.3696,2.96,-14.9,0.78,2.012590092,6.568743728,87.94817991
7,Bluestem,3,B,F,2-5,2,5,7.Bluestem R3 B F 2-5 (NA),0.29,0.3689,4.55,-15.54,0.95,0.3684,22.39,-19.02,0.15,0.3696,2.75,-18.17,0.28,0.3688,3.41,-15.21,0.78,3.833364821,4.534290572,90.68581145
8,Bluestem,4,B,F,2-5,2,5,8.Bluestem R4 B F 2-5 (NA),0.33,0.3691,5.21,-16.32,1.39,0.3684,28.74,-19.01,0.13,0.369,2.13,-19.67,0.22,0.369,2.72,-16.14,0.78,3.741082304,4.253426909,89.70864026
9,Bluestem,1,B,F,5-10,5,10,9.Bluestem R1 B F 5-10 (NA),0.23,0.3693,3.33,-14.33,,,,,,,,,,,,,1,,,
10,Bluestem,2,B,F,5-10,5,10,10.Bluestem R2 B F 5-10 (NA),0.25,0.3692,3.54,-14.22,,,,,,,,,,,,,1,,,
