Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R1,H1,F,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.236604949,52.36604949,,,,,1.93088,0.399891362,3.998913624,,,,,1.08792384,0.367007978
R1,H1,NF,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.236604949,52.36604949,,,,,1.14229,0.399891362,3.998913624,,,,,1.08792384,0.366720176
R1,H1,F,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,4.43204,5.236604949,52.36604949,0.009689642,0.507408248,23.08964583,223.7303912,101.337,0.399891362,3.998913624,0.009644741,0.038568487,1.763232098,17.00591712,1.110484776,0.403273667
R1,H1,NF,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,7.41742,5.236604949,52.36604949,0.011091782,0.580832814,23.08964583,256.1053219,222.185,0.399891362,3.998913624,0.021444722,0.085755591,1.763232098,37.81202222,1.113748607,0.447326316
R2,H1,F,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.236604949,52.36604949,,,,,1.61622,0.399891362,3.998913624,,,,,1.08792384,0.366893141
R2,H1,NF,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.236604949,52.36604949,,,,,1.88695,0.399891362,3.998913624,,,,,1.08792384,0.366991945
R2,H1,F,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,9.62163,5.236604949,52.36604949,0.012127031,0.635044728,23.08964583,280.0088605,121.464,0.399891362,3.998913624,0.01162771,0.046498207,1.763232098,20.5023513,1.116158268,0.410613256
R2,H1,NF,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,9.12579,5.236604949,52.36604949,0.011894151,0.622849685,23.08964583,274.6317274,167.466,0.399891362,3.998913624,0.01606501,0.064242586,1.763232098,28.32634047,1.115616222,0.42738446
R3,H1,F,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.236604949,52.36604949,,,,,1.28346,0.399891362,3.998913624,,,,,1.08792384,0.366771697
R3,H1,NF,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.236604949,52.36604949,,,,,0.868763,0.399891362,3.998913624,,,,,1.08792384,0.36662035
R3,H1,F,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,7.11133,5.236604949,52.36604949,0.010948021,0.573304618,23.08964583,252.7859312,127.708,0.399891362,3.998913624,0.012265395,0.049048257,1.763232098,21.62673896,1.113413977,0.412889997
R3,H1,NF,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,9.1999,5.236604949,52.36604949,0.011928958,0.624672399,23.08964583,275.4354127,161.774,0.399891362,3.998913624,0.015609999,0.062423038,1.763232098,27.52405157,1.115697238,0.425309602
R4,H1,F,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.236604949,52.36604949,,,,,2.3791,0.399891362,3.998913624,,,,,1.08792384,0.367171558
R4,H1,NF,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.236604949,52.36604949,,,,,2.3476,0.399891362,3.998913624,,,,,1.08792384,0.367160062
R4,H1,F,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,21.526,5.236604949,52.36604949,0.017718146,0.927829298,23.08964583,409.1057105,195.566,0.399891362,3.998913624,0.018744507,0.074957663,1.763232098,33.05091567,1.129170198,0.437626254
