Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R1,H1,F,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.009094225,50.09094225,,,,,1.93088,0.365603036,3.65603036,,,,,1.08792384,0.367007978
R1,H1,NF,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.192676407,51.92676407,,,,,1.14229,0.491170509,4.911705092,,,,,1.08792384,0.366720176
R1,H1,F,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,4.43204,4.666453016,46.66453016,0.009689642,0.507408248,23.08964583,223.7303912,101.337,0.3603922,3.603922003,0.009644741,0.038568487,1.763232098,17.00591712,1.110484776,0.403273667
R1,H1,NF,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,7.41742,2.337977999,23.37977999,0.011091782,0.580832814,23.08964583,256.1053219,222.185,0.41595421,4.159542103,0.021444722,0.085755591,1.763232098,37.81202222,1.113748607,0.447326316
R2,H1,F,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.343054166,53.43054166,,,,,1.61622,0.38681004,3.868100401,,,,,1.08792384,0.366893141
R2,H1,NF,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,4.627848739,46.27848739,,,,,1.88695,0.358616163,3.586161627,,,,,1.08792384,0.366991945
R2,H1,F,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,9.62163,4.9749205,49.749205,0.012127031,0.635044728,23.08964583,280.0088605,121.464,0.387635988,3.876359879,0.01162771,0.046498207,1.763232098,20.5023513,1.116158268,0.410613256
R2,H1,NF,E,0-2,BULK,0.701758354,628.3185307,100,440.9277778,9.12579,4.680048254,46.80048254,0.011894151,0.622849685,23.08964583,274.6317274,167.466,0.349719493,3.497194926,0.01606501,0.064242586,1.763232098,28.32634047,1.115616222,0.42738446
R3,H1,F,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.485776647,54.85776647,,,,,1.28346,0.493639245,4.936392448,,,,,1.08792384,0.366771697
R3,H1,NF,B,0-2,BULK,0.701758354,628.3185307,100,440.9277778,-16.198745,5.108278666,51.08278666,,,,,0.868763,0.417795131,4.177951311,,,,,1.08792384,0.36662035
